price,sold,tagText,shipping_price,tagText_encoded,final_price,log_sold,adjustable,and,bed,bedroom,bedside,bench,black,cabinet,cabinets,chair,chairs,charging,chest,closet,clothes,coffee,computer,conversation,couch,cushions,desk,dining,drawer,drawers,dresser,dressing,end,fabric,folding,for,frame,furniture,gaming,garden,glass,hanging,home,household,inch,kitchen,large,leather,led,light,lights,living,lounge,makeup,metal,mirror,modern,nightstand,of,office,organizer,ottoman,outdoor,patio,piece,pieces,portable,power,rack,rattan,room,round,seat,sectional,set,sets,shaped,shelf,shelves,shoe,shoes,side,simple,small,sofa,space,stand,station,steel,stool,storage,swing,table,tables,top,tv,up,upholstered,vanity,velvet,wardrobe,white,wicker,with,wood,wooden
238.18,0,Free shipping,0.0,1,238.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6158519559758214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33823537497899203,0.0,0.35547677310443043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41920627629011287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4519132230150103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
495.8,0,Free shipping,0.0,1,495.8,0.0,0.0,0.2103131613994767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2507526081288336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335267779979225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192343976221603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2621980883920701,0.272533375135062,0.3416744927795973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31726751389538943,0.0,0.33948786111259033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3046872744603688,0.24452451692614902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3097171812747286,0.13879872785321626,0.0,0.0
117.66,0,Free shipping,0.0,1,117.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2916350826249187,0.0,0.3054299500446668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2921658360605074,0.17522593746526163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23886324252321373,0.24827871964960185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6199207794598466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17014185157894918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2821532782260708,0.12644605609610937,0.2793733130351021,0.0
978.88,0,Free shipping,0.0,1,978.88,0.0,0.0,0.0,0.0,0.17759688314022737,0.0,0.0,0.0,0.0,0.0,0.6086178011391269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1556168165692651,0.0,0.0,0.0,0.0,0.22447802097108574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1862320189899846,0.6491242956410797,0.0,0.0,0.0,0.19198905524239016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17473474272657943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440.94,0,Free shipping,0.0,1,440.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4005927698574745,0.0,0.0,0.0,0.23581123074013702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7779317491007807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2997838997362706,0.0,0.0,0.0,0.0,0.0,0.24477341313710596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17016544777322837,0.0,0.0
183.3,0,Free shipping,0.0,1,183.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2569210139926656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294792475491069,0.0,0.0,0.264717090833973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4018531022623376,0.20884664518279217,0.0,0.27152757860799515,0.0,0.0,0.0,0.24531707232008979,0.0,0.0,0.0,0.0,0.34764256142454336,0.5203098581119405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18738301318016842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10636366519666776,0.0,0.0
60.28,4,Free shipping,0.0,1,60.28,1.6094379124341003,0.0,0.4364574622562851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31073166737596847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3416803225971422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18990301660418749,0.0,0.19958323859367602,0.0,0.3592443435426787,0.0,0.0,0.0,0.0,0.0,0.0,0.35152096255688475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2720664543924658,0.28279073097487395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23536431235746835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19379243877741137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14402270433315417,0.0,0.0
376.5,0,Free shipping,0.0,1,376.5,0.0,0.0,0.18305378783257004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2918126314826369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334827294495986,0.0,0.0,0.30066746847299575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22821374051556084,0.47441887419026724,0.0,0.30840286671128253,0.0,0.0,0.0,0.27863279577195404,0.0,0.0,0.0,0.27614543848951,0.19742739040325494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16255623074070025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2695737290614798,0.12080857284824448,0.0,0.0
204.93,0,Free shipping,0.0,1,204.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28302077415699467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27751843662013226,0.0,0.0,0.0,0.16336281884407317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20154552665358802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6092690398755305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25877894904500376,0.4153622603238504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2883360063784989,0.0,0.0,0.0,0.0,0.0,0.1178854252651459,0.2604592253145734,0.0
331.24,39,Free shipping,0.0,1,331.24,3.6888794541139363,0.0,0.17767387036939875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2704438286845488,0.0,0.0,0.0,0.30767035995466274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16249339066621457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44301316054671536,0.23023789496990654,0.2886487423549484,0.0,0.0,0.0,0.0,0.2704438286845488,0.0,0.0,0.0,0.26802957437931935,0.3832500707601895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2065758368776275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1577787327448156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26165100629369653,0.11725803090938255,0.0,0.0
